,P7,ingles
883,es un desastre la resolucion de exptes se tardan mas de un mes cuando uno le presenta toda la documentacion no existe gente capacitada para resolver un tramite todos los meses abriendo exptes por las mismas cosas que supuestamente me notifican que cargaron desastrosoooo,it is a disaster the resolution of expTES will take more than a month when one presents all the documentation there are no people trained to resolve a process every month opening exprets for the same things that we supposedly notify me that they charged disastrousoooo
884,den un mail valido y de facil acceso para comunicarse no me emitieron el impuesto 2021 y no me dan solucion,"give a valid email and easy access to communicate, they did not emit the tax 2021 and do not give me a solution"
885,estaba haciendo un tramite por la oficina virtual y me lo archivaron sin ninguna explicacion,I was doing a procedure for the virtual office and they filed it without any explanation
886,no es clara la forma de adjuntar documentos con la pantalla siguiente que efectua propiamente la carga del documento,It is not clear how to attach documents with the next screen that properly performs the document load
887,muy bueno,very good
888,necesito recibir impresos  en domicilio,I need to receive printed at home
889,es complicada para entender la pagina se usan terminos familiares para los empleados de atm y no para los usuarios,"It is complicated to understand the page, family terminals are used for ATM employees and not for users"
890,hay tramites que jamas los resuelven  como el caso del contribuyente 20149408909,There are Processes that never resolve them as the case of the 20149408909 taxpayer
891,"buenos dias esta bueno este sistema pero ademas deberia mejorar la atencion telefonica y el 148estos dos ultimos servicios son un desastreestamos en una pandemia y se nos pide que no concurramos a lugares publicos pero como hacemos si los servicios que nos debemos dirigir son malos
gracias por entender
stimolo jose martin
cel 2616574970","good morning this system is good but also should improve telephone care and 148th two last services are a disaster at a pandemic and we are asked not to meet public places but as we do if the services we should direct are bad
thank you for understanding
Stimolo Jose Martin.
cel 2616574970"
892,presente exp  ee54180-2020 el 16/12/2020  sin movimiento ni respuesta a la fecha,Present EXP EE54180-2020 on 12/16/2020 without movement or response to date
893,la ves que ingreso a la pagina ,you see that you enter the page
894,es un poco dificil completar en el apartado mis tramites las formas para reclamos de patentes pagas ,It is a bit difficult to complete in the section my procedures the forms for patents paying forms
895,en tipo detramite en catastro a realizarno figura certificado catastral o presentaciones varias como indica la guia suministrada para crear un expediente electronicoademasno me dice que documentacion debo adjuntar para solicitar el certificado catastralque es lo que solicito,"In the detramite rate in cadastre to be carried out, cadastral certified figure or several presentations as indicated by the guide provided to create an electronic fileAdemoth, it tells me that documentation I must attach to request the cadastral certificate is what I request"
896,no debiera ser tan complejo el tramite de incorporacion de ofici-os por mesa de entradas,"It should not be so complex, the Tramit of Incorporation of Office per Ticket Table"
